STRUCTURE_NUMBER_008,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,HISTORY_037,SERVICE_ON_042A,ROUTE_PREFIX_005B,LOCATION_009,FED_AGENCY,LAT_016,LONG_017
000000000000177,1962,2019.0,5,1,3,'1.5 MI S OF BERMUDIAN',N,39594026,77014509
000000000000178,1947,2009.0,5,1,3,'1 MI S OF BERMUDIAN',N,40001519,77013818
000000000000183,1968,0.0,5,1,3,'2 MI. N. OF HEIDLERSBURG',N,39584574,77073132
000000000000184,1943,1991.0,5,1,3,'2 MI.N. OF EAST BERLIN',N,39581823,76594839
000000000000188,1985,0.0,5,1,3,'2 MI.S.W. OF YORK SPRINGS',N,39592896,77083157
000000000000192,1940,0.0,5,1,3,'2 MI SE NEW CHESTER',N,39525608,77041156
000000000000193,1940,0.0,5,1,3,'1 MI. S.E. OF NEW CHESTER',N,39532609,77050507
000000000000194,1961,0.0,5,1,3,'0.5 MI NW NEW CHESTER',N,39542688,77055795
000000000000195,1992,0.0,5,1,3,'1 MI.S.E. OF HEIDLERSBURG',N,39561267,77080296
000000000000197,1938,1983.0,5,1,3,'BREAM MILL',N,39592739,77104855
000000000000199,1926,2017.0,5,1,3,'1.5 MI N OF HUNTERSTOWN',N,39540550,77092086
000000000000200,1963,0.0,5,1,3,'2.5 MI N OF HUNTERSTOWN',N,39545172,77084694
000000000000201,1963,0.0,5,1,3,'2.75 MI.N. OF HUNTERSTOWN',N,39545960,77083737
000000000000202,1962,0.0,5,1,3,'NW OF ABBOTTSTOWN',N,39551048,77010603
000000000000205,1970,0.0,5,1,3,'N OF CROSS KEYS',N,39534880,77005592
000000000000209,1953,0.0,5,1,3,'GARGOL',N,40005601,77102392
000000000000214,1987,0.0,5,1,3,'1 MI E OF NEW CHESTER',N,39540857,77040675
000000000000228,1938,0.0,5,1,3,'3 MI. N. OF BONNEAUVILLE',N,39503032,77085010
000000000000232,1938,1982.0,5,1,3,'2 MI. N. CENTENNIAL',N,39492619,77045585
000000000000234,1963,0.0,5,1,3,'1 MI N MCSHERRYSTOWN',N,39484000,77025092
000000000000235,1957,0.0,5,1,3,'1 MI S OF MCSHERRYSTOWN',N,39472668,77010897
000000000000236,1983,0.0,5,1,3,'3/4 MI.S. OF MT.PLEASANT',N,39455954,77001982
000000000000237,1980,0.0,5,1,3,'EDGE GROVE',N,39493334,77033810
000000000000238,1941,0.0,5,1,3,'EDGE GROVE',N,39490583,77022393
000000000000246,1954,0.0,5,1,3,'0.5 MI. N. OF MD. LINE',N,39435013,77091457
000000000000247,1963,0.0,5,1,3,'1 MI. E. OF KINGSDALE',N,39432526,77061508
000000000000248,1963,0.0,5,1,3,'1 MI. E. OF KINGSDALE',N,39432600,77060801
000000000000249,1965,0.0,5,1,3,'N.W. OF NEW OXFORD',N,39524089,77060271
000000000000252,1977,0.0,5,1,3,'2 MI. S. OF BRUSHTOWN',N,39463822,77031400
000000000000261,1942,0.0,5,1,3,'2 MI.S. OF GETTYSBURG',N,39481835,77124132
000000000000264,1963,1982.0,5,1,3,'1.75 MILES N OF MARYLAND',N,39442209,77172043
000000000000274,1985,0.0,5,1,3,'S. OF HEIDERSBURG',N,39563125,77090431
000000000000279,1949,2015.0,5,1,3,'1/2 MI.N. OF MD. LINE',N,39434285,77152379
000000000000281,1940,1947.0,5,1,3,'2 1/4 MI.S. OF BARLOW',N,39434771,77134891
000000000000282,1940,0.0,5,1,3,'2 MI. S.W. OF BARLOW',N,39433883,77132847
000000000000285,1963,2010.0,5,1,3,'2 1/2 MI. N.E. GETTYSBURG',N,39513156,77115294
000000000000286,1934,2014.0,5,1,3,'2 1/2 MI.N.E. GETTYSBURG',N,39515058,77112055
000000000000287,1963,2010.0,5,1,3,'2.75 MI. N. MD. LINE',N,39444999,77162639
000000000000290,1960,0.0,5,1,3,'S.W. OF GETTYSBURG',N,39474109,77171175
000000000000291,1963,0.0,5,1,3,'3.5 MI.S.W. OF GETTYSBURG',N,39475571,77164277
000000000000292,1963,0.0,5,1,3,'3 MI. S.W. OF GETTYSBURG',N,39480307,77160070
000000000000293,1986,,5,1,3,'1 MI.E. OF GREENMOUNT',N,39455900,77154947
000000000000294,1963,0.0,5,1,3,'S OF GETTYSBURGG',N,39455534,77153196
000000000000295,1990,,5,1,3,'SOUTH OF GETTYSBURG',N,39455416,77152925
000000000000306,1956,0.0,5,1,3,'FOUNTAINDALE',N,39441998,77260030
000000000000309,1971,0.0,5,1,3,'3 MI. S.E. OF FAIRFIELD',N,39452753,77190482
000000000000310,1967,0.0,5,1,3,'1 MI. N. OF ORTANNA',N,39510616,77211189
000000000000311,1991,0.0,5,1,3,'.5 MI N OF HILLTOWN',N,39534291,77211807
000000000000320,1947,2012.0,5,1,3,'1 MI N OF KNOXLYN',N,39502511,77174514
000000000000321,1901,0.0,2,1,3,'.5 MI.W. OF IRON SPRG.',N,39460907,77252612
000000000000328,1955,0.0,5,1,3,'NW OF GETTYSBURG',N,39512920,77152900
000000000000333,1941,2010.0,5,1,3,'W. OF ORRTANNA',N,39505194,77213660
000000000000342,1937,2001.0,5,1,3,'.25 MI.N. OF L.R. 44',N,39444217,77244195
000000000000343,1890,1992.0,1,1,3,'1.5 MI. S.W. FAIRFIELD',N,39460168,77231189
000000000000366,1957,0.0,5,1,3,'1 MI N OF ARENDTSVILLE',N,39560084,77180964
000000000000367,1957,0.0,5,1,3,'1 MI N OF ARENDTSVILLE',N,39560211,77180930
000000000000374,1940,1986.0,5,1,3,'2 MI.N.W. OF BENDERSVILLE',N,39594475,77161644
000000000000383,1985,0.0,5,1,3,'1 MI NE OF TABLE ROCK',N,39552737,77123490
000000000000385,1962,0.0,5,1,3,'BEECHERSVILLE',N,39545490,77171378
000000000000388,1974,0.0,5,1,5,'2 SE ARENDTSVILLE/CONEWAG',N,39540936,77155724
000000000000389,1956,0.0,5,1,5,'2.5 E  BIGLERV/OPOSSUM CR',N,39555349,77114866
000000000000393,1991,0.0,5,1,5,'2.5 MI.E OF BIGLERVILLE',N,39554042,77112372
000000000000394,1983,0.0,5,1,5,'2.5 MI.EBIGVLELERVILLE/OP',N,39554606,77113216
000000000000395,1956,0.0,5,1,5,'1.5 SE BENDRSVILL/OPOSSUM',N,39575313,77131810
000000000000396,1911,0.0,2,1,5,'1.7 SE ARENDTSVIL/CONEWAG',N,39541172,77162148
000000000000398,1958,0.0,5,1,5,'1.5 MI.SW MCSHERRYSTOWN',N,39470701,77030152
000000000000399,1935,2007.0,5,1,5,'3.5 MI.SW OF GETTYSBURG',N,39470184,77163428
000000000000400,1966,0.0,5,1,5,'3 MI.SW GBRG.WILLOUGBY RN',N,39482402,77160421
000000000000401,1967,0.0,5,1,5,'1 W GBURG/WILLOUGHBY RUN',N,39494302,77152615
000000000000402,1971,0.0,5,1,5,'1.5N GETTYSBURG/ROCK CRK.',N,39512447,77132351
000000000000406,1977,0.0,5,1,5,'4 SE OF GBURG/ROCK CREEK',N,39462033,77123152
000000000000407,1936,0.0,2,1,5,'1.5 SE ROUND TOP/ROCK CRE',N,39465719,77122316
000000000000408,1963,0.0,5,1,5,'2.5 N.GETTSBRG/ROCK CREEK',N,39520201,77132203
000000000000418,1978,0.0,5,1,5,'1.5 E.CSHTWN/MARSH CREEK',N,39530220,77195177
000000000000419,1978,0.0,5,1,5,'1.5 NE CSHTWN./MARSH CRK.',N,39532121,77200535
000000000000420,1978,0.0,5,1,5,'1.5 NW ARENDTSVIL/CONEWAG',N,39560216,77192078
000000000000421,1939,0.0,5,1,5,'4.5 MI.SE OF GETTYSBURG',N,39463417,77173064
000000000000422,1905,0.0,2,1,5,'2.5 SW GREENMT.MIDDLE CRK',N,39440313,77174662
000000000000425,1940,0.0,5,1,5,'2 NW LITLTWN/ALLOWAY CRK.',N,39455085,77064199
000000000000426,1986,0.0,5,1,5,'1 NE ABBOTTSTOWN/PINE RUN',N,39533066,77005750
000000000000427,1993,0.0,5,1,5,'2 W ABBOTSTOWN/PINE RUN',N,39531665,77005688
000000000000428,1957,0.0,5,1,5,'1 E.HMPTN RDG/HMLTN CONWG',N,39554345,77020099
000000000000429,1993,0.0,5,1,5,'1.5 NE ABBOTTSTN/PINE RUN',N,39540673,77010604
000000000000432,1954,1984.0,5,1,5,'1 SE BERLIN/BEAVER CREEK',N,39550270,76580239
000000000000433,1967,0.0,5,1,5,'1.5 SW FAIRFIELD/TOMS CRK',N,39463238,77235054
000000000000434,1967,0.0,5,1,5,'3.5 MI.SW OF FAIRFIELD',N,39460507,77260009
000000000000435,1940,0.0,5,1,5,'E 1 FAIRFIELD/SPRING RUN',N,39471696,77204805
000000000000436,1939,0.0,5,1,5,'1 E.MT.HOPE/SWAMP CREEK',N,39481415,77244771
000000000000437,1962,0.0,5,1,5,'L.MARSH CRK.2 SW MCKNTWN',N,39504558,77201271
000000000000439,1963,0.0,5,1,5,'2 N HEIDLERSBURG/BERMUDIA',N,39584901,77091661
000000000000440,1976,0.0,5,1,5,'1.5 SE GRDNS/BERMUDN CREK',N,39593101,77111097
000000000000441,1920,0.0,5,1,5,'2 NE YORK SPRG/LATIMOR CR',N,40012728,77050320
000000000000442,1977,0.0,5,1,5,'2 N YRKSPRG/TR.LATIMRE CR',N,40020968,77071124
000000000000443,1938,0.0,5,1,5,'1SE YORK SPRG/BERMUDN CR.',N,40000377,77051594
000000000000445,1973,0.0,5,1,5,'1.6NE SGL#249/BERMUD CRK',N,40002504,77023372
000000000000446,1955,0.0,5,1,5,'.6 N SGL#249/BURMUDIAN CR',N,40000060,77042488
000000000000447,1945,2004.0,5,1,5,'2.5 E.YRK.SPRG/LATIMORE C',N,40003879,77040863
000000000000448,1975,0.0,5,1,5,'2.6 N YRKSPRG/LATIMORE CR',N,40025558,77060068
000000000000449,1926,0.0,5,1,5,'2 E GLADHILL/BRANCH CREEK',N,39443481,77244088
000000000000450,1941,,5,1,5,'4.5 MI.SE OF FAIRFIELD',N,39433503,77200566
000000000000451,1904,1978.0,5,1,5,'2 SE FAIRFIELD/MIDDLE CRK',N,39462699,77195767
000000000000452,1968,0.0,5,1,5,'1.5 MI.E OF FAIRFIELD',N,39470414,77201376
000000000000453,1972,0.0,5,1,5,'.8 NE BENDERS/OPOSSUM CRK',N,39593143,77143406
000000000000456,1978,0.0,5,1,5,'3.5 SE GBURG/LITTLES RUN',N,39465484,77114308
000000000000458,1820,0.0,1,1,5,'2.25 MI.SW OF NEW OXFORD',N,39495679,77044724
000000000000459,1920,0.0,5,1,5,'1 S.GULDENS TR.SWIFT RUN',N,39504470,77071571
000000000000460,1950,0.0,5,1,5,'1.5 GULDENS TR.SWIFT RUN',N,39504689,77072696
000000000000461,1961,0.0,5,1,5,'1 SW N OXFD/S BR.CONEWAGO',N,39505625,77041623
000000000000462,1974,0.0,5,1,5,'2.5 NW NEW OXFORD/SWIFT R',N,39520378,77063611
000000000000463,1958,0.0,5,1,5,'.7NW N.OXFRD CNWG CR.BRDR',N,39522122,77035590
000000000000464,1996,0.0,5,1,5,'.5SW N.OXF/TRIB CONEWAGO',N,39511026,77040153
000000000000465,1940,0.0,5,1,5,'1.5 NE HAMPTON;MARKET RUN',N,39563437,77021316
000000000000466,1970,0.0,5,1,5,'2 SW E.BERLIN/MARKLE RUN',N,39555039,77005913
000000000000467,1963,0.0,5,1,5,'1.5 M W N CHESTER/BURDAM',N,39540204,77074330
000000000000468,1967,0.0,5,1,5,'1.5 NE.HUNTERSTWN/BURDAM',N,39540627,77085736
000000000000473,1925,0.0,5,1,5,'BR.BEAVER CRK/E END ATWN',N,39531041,76585221
000000000000474,1920,0.0,5,5,5,'HIGH ST.CSXT RR N OXF BOR',N,39514392,77032771
000000000000475,1980,0.0,5,1,5,'CARROLL VALLEY BOROUGH',N,39432957,77221504
000000000000478,1976,0.0,5,1,7,'0.15 MI SW OF SR 233',N,39545399,77280551
000000000000488,1960,2008.0,3,5,3,'62nd Street Bridge',N,40291850,79561448
000000000000491,1960,2008.0,5,6,3,'62nd Street Bridge',N,40294514,79562343
000000000000492,1960,1985.0,5,6,3,'62nd Street Bridge',N,40294464,79562402
000000000000495,1925,2007.0,5,5,3,'450S.OF SR 1013',N,40303624,79564598
000000000000496,1925,2007.0,5,5,3,'NEAR INT WITH SAXONBURG B',N,40304037,79564885
000000000000497,1912,1958.0,5,5,3,'0.8 MI N OF SR 1013',N,40311362,79570166
000000000000498,1933,1959.0,5,1,3,'150N.SPENCER LANE',N,40314885,79571340
000000000000499,1933,1997.0,5,5,3,'250 S.E. OF SR 4060',N,40321336,79574472
000000000000501,1959,2007.0,5,5,3,'600SOUTH OF DUNCAN AVE.',N,40332642,79573165
000000000000502,1931,2010.0,5,5,3,'.5 MI. SOUTH OF SR 1010',N,40335125,79572831
000000000000506,1984,0.0,5,1,3,'RICHLAND OVER LR 02273',N,40390345,79561143
000000000000512,1940,0.0,5,1,2,'AT CIRCLE DRIVE',N,40182411,80053798
000000000000513,1940,2010.0,5,5,3,'COUNTRY CLUB RD OVER SR19',N,40193820,80043228
000000000000514,1940,1997.0,5,5,2,'OVER SR 3004',N,40195464,80041147
000000000000524,1953,2015.0,5,1,2,'350S.W.OF FT.PITT TUNNEL',N,40254360,80014687
000000000000526,1953,2015.0,5,5,2,'400S.W.OF FT.PITT TUNNEL',N,40253170,80015259
000000000000531,1950,0.0,5,1,3,'19&51 SB @ W.END CIRCLE',N,40260000,80010000
000000000000533,1991,0.0,5,1,2,'West End Bridge',N,40265090,80013600
000000000000535,1930,1991.0,5,5,2,'West End Bridge',N,40263980,80014150
000000000000538,1986,,5,5,2,'IVORY AVE INTERSECTION',N,40294760,80011206
000000000000539,1940,0.0,5,1,2,'150 SOUTH OF PINE CR.RD.',N,40350910,80024005
000000000000547,1964,0.0,5,1,2,'761E.OF WASH.CO.LINE',N,40253679,80174066
000000000000548,1963,2016.0,5,1,2,'150N.OF SR3053',N,40253782,80170555
000000000000549,1964,0.0,5,1,2,'OVER T 873',N,40260418,80150858
000000000000550,1966,2002.0,5,1,2,'OVER US 30 & TR 978',N,40262143,80141537
000000000000551,1964,2003.0,5,1,2,'OVER OAKDALE ROAD',N,40261206,80123753
000000000000552,1964,2015.0,5,1,2,'OVER SR 3103 (McKee Road)',N,40261949,80113057
000000000000555,1950,2010.0,5,1,2,'SR 0022/30 OVER SR 0376',N,40265006,80095775
000000000000557,1951,1981.0,5,1,1,'AT INT W/ MCMICHAEL ROAD',N,40254854,80080681
000000000000565,1943,1992.0,5,1,2,'AT TR 286 EXIT RAMP',N,40254338,79433824
000000000000566,1943,0.0,5,1,2,'NEAR TR 286 EXIT RAMP',N,40253780,79431976
000000000000570,1988,2017.0,5,5,5,'301131 NEAR HEINZ PLANT',N,40271650,79593932
000000000000572,1986,,5,1,3,'SR 28 WB OVER MADISON A.',N,40300000,80000000
000000000000580,1962,2012.0,5,1,3,'SR 28 N.B. OVER BRIDGE ST',N,40290000,79583000
000000000000582,1963,2012.0,5,1,3,'SR 28 N.B. OVER RAMP B',N,40284111,79580463
000000000000583,1963,2012.0,5,1,3,'70 S.B.O/RP.B & BRIDGE ST',N,40283808,79580832
000000000000584,1963,2012.0,5,1,3,'MILLVALE OVER RAMP A',N,40284291,79580217
000000000000594,1960,2005.0,5,1,3,'RT 0028 OVER BUTLER ST',N,40293180,79570149
000000000000598,1960,2009.0,5,1,3,'@ ETNA INTERCHANGE',N,40294493,79562137
000000000000599,1960,2001.0,5,1,3,'ETNA INTERCHANGE SB',N,40294615,79562172
000000000000600,1963,2009.0,5,1,3,'SHARPSBURG NB O/RAVINE ST',N,40294925,79560795
000000000000603,1963,2000.0,5,1,3,'1.0 MI W OF HIGHLAND PK',N,40295003,79560726
000000000000605,1963,1977.0,5,1,3,'3/4 MI.WEST OF HIGH.PARK',N,40295048,79553030
000000000000607,1963,2001.0,5,1,3,'RT 28 SB OVER KITTANNING',N,40295117,79553107
000000000000610,1963,2009.0,5,1,3,'N.B. @ SCOUT RESERVATION',N,40294497,79544216
000000000000612,1963,2001.0,5,1,3,'SHARPSBURG O/SCOUT RES.RD',N,40294644,79544614
000000000000614,1965,0.0,5,1,3,'ASPINWALL OVER CENTER AVE',N,40293855,79541302
000000000000615,1965,1995.0,5,1,3,'O/DELAFIELD & LEXINGTON',N,40293000,79540000
000000000000617,1965,0.0,5,1,3,'ASPINWALL OVER CENTER AVE',N,40293941,79541417
000000000000618,1965,1995.0,5,1,3,'O/DELAFLD.RD.-LXGTN.AVE.',N,40293000,79540000
000000000000619,1965,1984.0,5,1,3,'AT ASPINWL.MAINT.SHED',N,40291200,79530000
000000000000620,1965,1984.0,5,1,3,'AT BLAWNOX INTERCHANGE',N,40292645,79524848
000000000000621,1965,2001.0,5,1,3,'AT PADOT ASPNWL. SHED',N,40292714,79525868
000000000000622,1965,2001.0,5,1,3,'600N.OF FOX CHAPEL RD.',N,40292717,79525019
000000000000624,1970,2015.0,5,5,3,'TWP.RD 503 OVER SR 0028',N,40293000,79523000
000000000000625,1970,2001.0,5,1,3,'R.I.D.C. INTERCHANGE',N,40300389,79514441
000000000000626,1970,2001.0,5,1,3,'RIDC INTERCHANGE',N,40300400,79514555
000000000000627,1970,2001.0,5,1,3,'1037 NB OVER LR 02146',N,40303323,79511936
000000000000628,1970,2001.0,5,1,3,'1037 SB OVER LR 02146',N,40303449,79511954
000000000000629,1971,2004.0,5,1,3,'BARGE BASIN',N,40320000,79510000
000000000000630,1971,2008.0,5,1,3,'2.3 MI NE OF GAMMA DR',N,40320000,79503000
000000000000631,1971,2004.0,5,1,3,'BARGE BASIN',N,40315936,79505147
000000000000632,1971,2008.0,5,1,3,'0.7 MI SW OF SR 0910',N,40320523,79504529
000000000000633,1972,2008.0,5,1,3,'NEAR HARMARVILLE INT.',N,40321651,79503386
000000000000634,1970,2008.0,5,1,3,'HARMARVILLE INTERCHANGE',N,40322512,79502666
000000000000635,1970,2008.0,5,1,3,'NEAR HARMARVILLE INTERCH',N,40321716,79503435
000000000000636,1970,2008.0,5,1,3,'HARMARVILLE INTERCHANGE',N,40322629,79502666
000000000000637,1970,2008.0,5,1,3,'SR 28 NB OVER TURNPIKE',N,40325284,79492938
000000000000639,1970,2008.0,5,1,3,'SR 28 SB OVER TURNPIKE',N,40325357,79492897
000000000000640,1970,2008.0,5,1,3,'LR 1037 NB OVER LR 02169',N,40332734,79481814
000000000000642,1970,2008.0,5,1,3,'RT 0028 SB OVER 1017',N,40332798,79481888
000000000000644,1976,2008.0,5,1,3,'0.4 MI N OF SR 28 EXIT 13',N,40345658,79465074
000000000000645,1976,2008.0,5,1,3,'2.5 MI S OF SR 28 EXIT 14',N,40345684,79465149
000000000000646,1976,2008.0,5,1,3,'RT 28 NB O/BAILEYS RUN RD',N,40351564,79463694
000000000000647,1976,2008.0,5,1,3,'1 MI.S.W. OF TARENTUM BRG',N,40351651,79463712
000000000000648,1982,0.0,5,1,3,'TARENTUM INTERCHANGE',N,40364566,79452961
000000000000649,1984,0.0,5,1,3,'TARENTUM INTERCHANGE',N,40364797,79452610
000000000000650,1984,0.0,5,1,3,'TARENTUM INTERCHANGE',N,40364825,79452690
000000000000652,1972,2005.0,5,1,3,'@ INT W/ SR 1032',N,40375333,79435534
000000000000653,1972,2005.0,5,1,3,'@ INT W/ SR 1032',N,40375348,79435666
000000000000654,1972,2005.0,5,1,3,'1 MI S OF FREEPORT INTCH',N,40391123,79432907
000000000000655,1972,2005.0,5,1,3,'1 MI S OF FREEPORT INTCH',N,40391268,79433030
000000000000656,1972,2005.0,5,1,3,'BAKERSTOWN INTERCHANGE',N,40400255,79425521
000000000000657,1972,2005.0,5,1,3,'BAKERSTOWN INTERCHANGE',N,40400278,79425629
000000000000673,1937,2016.0,5,5,2,'RT 30 OVER BESSEMER AVE',N,40234167,79501915
000000000000674,1931,1983.0,1,5,2,'Westinghouse Bridge',N,40233372,79501058
000000000000675,1931,0.0,5,1,2,'LR 1074 SB',N,40231720,79494604
000000000000676,1970,1992.0,5,1,2,'RT 30 OVER SR 2037 NB',N,40231501,79494279
000000000000684,1931,2010.0,2,5,3,'BOSTON BRIDGE',N,40184480,79494086
000000000000685,1934,1963.0,5,1,3,'0.1 MI S OF SR 0048',N,40192448,79501969
000000000000686,1929,2004.0,5,1,3,'@ INTERSECTION W/ SR 2035',N,40203757,79475652
000000000000689,1972,0.0,5,1,3,'1/2 MI FROM WASH CO LINE',N,40201803,80103338
000000000000690,1972,0.0,5,1,3,'1 MI N OF WASH COUNT LINE',N,40203307,80101165
000000000000691,1985,0.0,5,5,3,'SOUTH END BRIDGE',N,40211882,80065144
000000000000695,1986,0.0,5,5,3,'NORTH END OF BRIDGEVILLE',N,40213000,80060000
000000000000698,1978,0.0,5,5,3,'300 S. THOMS RUN RD.',N,40225030,80054233
000000000000701,1965,1974.0,5,5,3,'HEIDELBERG-SCOTT TWP LINE',N,40233999,80051386
000000000000703,1965,0.0,5,5,3,'@ INT. W/HOPE HOLLOW ROAD',N,40234414,80051206
000000000000704,1987,0.0,5,5,3,'HEIDELBERG-SCOTT TWP LINE',N,40233982,80051441
000000000000708,1948,0.0,5,1,3,'@ INT.W/ROBERTS HOLLOW RD',N,40145394,79523524
000000000000712,1951,2020.0,2,5,3,'Elizabeth Bridge',N,40161894,79530563
000000000000718,1951,1986.0,5,1,3,'TR 51 SB OVER TR 837',N,40162782,79533979
000000000000721,1960,1999.0,5,5,3,'@ DICK CORPORATION DRIVE',N,40173209,79545501
000000000000723,1959,1999.0,5,1,3,'NEAR SR 2030',N,40180083,79552016
000000000000724,1959,1999.0,5,1,3,'1 MI.N.OF INT.W/LR 02182',N,40180802,79555073
000000000000725,1960,1999.0,5,1,3,'ONE MILE N OF SR 2030',N,40181435,79555771
000000000000727,1935,1999.0,5,1,3,'1/2 MI S PLEAS HILLS LINE',N,40184017,79561584
